,client_id,confirm,start,step_1,step_2,step_3,conversion,completed_&_confused,completed_linear,variation
0,555,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
1,647,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
2,934,,4.0,,,,0,0,0,Test
3,1028,,1.0,5.0,2.0,1.0,0,0,0,Control
4,1104,,2.0,,,,0,0,0,Control
5,1186,,2.0,1.0,1.0,,0,0,0,Control
6,1195,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
7,1197,1.0,1.0,1.0,2.0,2.0,1,1,0,Control
8,1336,3.0,1.0,1.0,1.0,1.0,1,0,0,Test
9,1346,,5.0,2.0,1.0,2.0,0,0,0,Test
10,1368,,1.0,,,,0,0,0,Control
11,1516,1.0,6.0,4.0,4.0,1.0,1,1,0,Test
12,1643,1.0,5.0,2.0,1.0,1.0,1,1,0,Test
13,1702,3.0,,,,,0,0,0,Test
14,1755,1.0,2.0,2.0,2.0,2.0,1,1,0,Test
15,1836,2.0,4.0,4.0,1.0,1.0,1,1,0,Test
16,1936,1.0,4.0,1.0,2.0,2.0,1,1,0,Test
17,2439,,1.0,,,,0,0,0,Control
18,2581,,1.0,,,,0,0,0,Control
19,2720,,3.0,,,,0,0,0,Test
20,3232,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
21,3572,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
22,3647,,3.0,1.0,1.0,1.0,0,0,0,Control
23,3743,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
24,4369,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
25,4484,1.0,2.0,1.0,1.0,2.0,1,1,0,Test
26,4603,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
27,4717,1.0,3.0,2.0,2.0,2.0,1,1,0,Test
28,4870,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
29,5354,1.0,2.0,2.0,1.0,1.0,1,1,0,Control
30,5845,,2.0,2.0,2.0,3.0,0,0,0,Test
31,6022,,2.0,1.0,,,0,0,0,Test
32,6150,,1.0,,,,0,0,0,Test
33,6642,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
34,6904,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
35,6977,1.0,2.0,1.0,1.0,1.0,1,0,0,Control
36,6985,1.0,2.0,1.0,1.0,1.0,1,0,0,Control
37,7020,1.0,3.0,4.0,2.0,2.0,1,1,0,Control
38,7561,,3.0,2.0,1.0,,0,0,0,Test
39,7563,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
40,7567,1.0,2.0,1.0,1.0,1.0,1,0,0,Control
41,7657,1.0,2.0,2.0,1.0,1.0,1,1,0,Test
42,7723,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
43,7934,,2.0,1.0,,,0,0,0,Test
44,8023,,1.0,1.0,,,0,0,0,Test
45,8039,,1.0,1.0,1.0,1.0,0,0,0,Control
46,8055,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
47,8101,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
48,8124,,1.0,,,,0,0,0,Control
49,8610,,2.0,,,,0,0,0,Test
50,8712,,2.0,2.0,2.0,,0,0,0,Test
51,8820,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
52,9229,,3.0,3.0,2.0,,0,0,0,Control
53,9751,,3.0,2.0,2.0,,0,0,0,Test
54,9767,1.0,3.0,2.0,2.0,2.0,1,1,0,Control
55,9845,,1.0,,,,0,0,0,Control
56,9916,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
57,10344,,5.0,,,,0,0,0,Control
58,10363,,1.0,1.0,,,0,0,0,Test
59,11040,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
60,11054,1.0,2.0,1.0,1.0,1.0,1,0,0,Control
61,11070,1.0,5.0,2.0,2.0,2.0,1,1,0,Control
62,11122,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
63,11309,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
64,11880,2.0,5.0,2.0,1.0,1.0,1,1,0,Test
65,12045,,2.0,1.0,1.0,,0,0,0,Control
66,12785,1.0,1.0,1.0,2.0,2.0,1,1,0,Test
67,13009,1.0,1.0,1.0,2.0,4.0,1,1,0,Control
68,13735,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
69,13831,,6.0,2.0,1.0,,0,0,0,Control
70,14690,,2.0,1.0,,,0,0,0,Test
71,14775,,1.0,,,,0,0,0,Control
72,15050,1.0,3.0,3.0,1.0,1.0,1,1,0,Test
73,15189,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
74,15753,,5.0,2.0,2.0,1.0,0,0,0,Test
75,15807,,2.0,1.0,1.0,1.0,0,0,0,Test
76,16095,,1.0,1.0,1.0,1.0,0,0,0,Control
77,16098,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
78,16135,1.0,7.0,5.0,1.0,1.0,1,1,0,Control
79,16202,,2.0,1.0,,,0,0,0,Control
80,16295,1.0,3.0,3.0,1.0,1.0,1,1,0,Test
81,16549,2.0,4.0,2.0,2.0,2.0,1,1,0,Control
82,16679,,6.0,1.0,1.0,,0,0,0,Control
83,16744,,2.0,,,,0,0,0,Control
84,16747,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
85,16881,,1.0,,,,0,0,0,Test
86,17008,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
87,17036,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
88,17160,1.0,4.0,3.0,1.0,1.0,1,1,0,Control
89,17170,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
90,17318,,2.0,1.0,1.0,1.0,0,0,0,Test
91,17404,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
92,18549,3.0,1.0,1.0,1.0,1.0,1,0,0,Test
93,18660,,2.0,2.0,,,0,0,0,Control
94,18973,1.0,2.0,1.0,1.0,1.0,1,0,0,Control
95,19060,,2.0,1.0,1.0,1.0,0,0,0,Test
96,19613,,1.0,,,,0,0,0,Control
97,19782,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
98,19813,1.0,2.0,1.0,1.0,1.0,1,0,0,Control
99,19832,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
100,20091,1.0,3.0,2.0,1.0,1.0,1,1,0,Control
101,20185,1.0,6.0,10.0,10.0,3.0,1,1,0,Test
102,20537,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
103,20564,1.0,1.0,1.0,3.0,4.0,1,1,0,Test
104,20643,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
105,20668,,2.0,1.0,,,0,0,0,Test
106,20898,,1.0,,,,0,0,0,Control
107,21200,,2.0,1.0,1.0,1.0,0,0,0,Test
108,21242,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
109,21281,1.0,2.0,3.0,2.0,1.0,1,1,0,Test
110,21353,1.0,1.0,1.0,3.0,3.0,1,1,0,Control
111,21403,,5.0,,,,0,0,0,Test
112,21498,1.0,5.0,2.0,2.0,2.0,1,1,0,Control
113,21522,,9.0,3.0,2.0,2.0,0,0,0,Test
114,21596,1.0,2.0,2.0,1.0,1.0,1,1,0,Test
115,21719,,1.0,1.0,1.0,1.0,0,0,0,Control
116,21940,1.0,5.0,2.0,2.0,1.0,1,1,0,Control
117,21970,1.0,2.0,2.0,2.0,2.0,1,1,0,Control
118,22007,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
119,22793,,1.0,1.0,1.0,,0,0,0,Test
120,22885,,5.0,7.0,6.0,5.0,0,0,0,Control
121,23276,1.0,1.0,1.0,1.0,3.0,1,1,0,Control
122,23864,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
123,23914,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
