client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,variation,edad_redondeada,full_bal,call_group,Outlier
388801,30,361,57.5,M,5,522498.72,1,4,Test,58,500K-1M,1,False
285619,30,369,67.5,M,2,299388.72,3,6,Control,68,250K-500K,3,False
8198645,15,189,54.5,F,2,382303.83,6,9,Test,54,250K-500K,6,False
6590646,8,103,42.5,F,3,2768726.87,5,8,Test,42,1M-5M,5,False
3065089,19,228,63.0,M,2,439723.43,6,9,Test,63,250K-500K,6,False
8475126,23,278,51.0,M,3,327091.02,3,6,Control,51,250K-500K,3,False
1329260,17,212,63.5,F,2,666138.27,5,8,Control,64,500K-1M,5,False
8387066,27,329,66.0,M,2,406190.96,6,9,Test,66,250K-500K,6,False
3979917,19,239,63.0,M,2,374919.6,4,7,Control,63,250K-500K,4,False
5587497,7,91,64.0,U,2,410277.5,5,8,Control,64,250K-500K,5,False
2942135,21,261,68.5,U,3,417847.47,6,9,Test,68,250K-500K,6,False
5376149,20,242,56.5,M,2,858054.38,6,9,Control,56,500K-1M,6,False
5115750,22,271,62.0,F,4,351838.75,1,4,Control,62,250K-500K,1,False
3678422,17,204,33.0,M,3,339660.53,6,9,Control,33,250K-500K,6,False
9247669,6,81,38.5,U,3,414323.08,6,9,Test,38,250K-500K,6,False
5650730,10,122,43.0,M,2,474954.32,5,8,Test,43,250K-500K,5,False
8972482,16,194,62.0,M,3,396305.98,6,9,Control,62,250K-500K,6,False
3778929,13,156,59.5,F,2,300637.25,5,8,Test,60,250K-500K,5,False
340192,24,295,73.5,F,2,321351.47,6,9,Test,74,250K-500K,6,False
6929446,28,347,83.0,M,2,326957.19,0,3,Test,83,250K-500K,0,False
6770720,14,179,62.5,M,2,1907094.11,4,8,Control,62,1M-5M,4,False
1435050,15,189,52.5,F,2,1589727.12,1,4,Control,52,1M-5M,1,False
3937930,5,66,66.5,U,2,430081.07,3,6,Test,66,250K-500K,3,False
9821262,23,285,65.5,M,3,1141653.0499999998,3,6,Test,66,1M-5M,3,False
8730282,27,334,50.0,F,3,464879.31,2,5,Control,50,250K-500K,2,False
7056174,8,107,60.5,F,2,433799.34,6,9,Test,60,250K-500K,6,False
820519,5,63,60.5,M,2,384904.34,3,6,Test,60,250K-500K,3,False
203223,24,292,60.5,M,3,1113383.46,6,9,Test,60,1M-5M,6,False
4877364,12,155,76.0,M,4,2141137.39,0,3,Test,76,1M-5M,0,False
3083365,7,86,72.5,U,2,1260146.5699999998,5,8,Test,72,1M-5M,5,False
1646150,5,67,66.5,M,2,361345.09,6,9,Test,66,250K-500K,6,False
6196555,4,56,69.5,U,3,310089.38,6,9,Test,70,250K-500K,6,False
9048757,15,190,60.5,F,2,591058.3500000001,0,3,Control,60,500K-1M,0,False
5937897,17,210,63.5,M,2,482055.17,0,3,Control,64,250K-500K,0,False
2406021,23,286,49.0,M,2,483324.86,4,7,Control,49,250K-500K,4,False
881563,21,262,49.5,M,2,477340.15,5,8,Test,50,250K-500K,5,False
2600705,15,181,61.5,F,2,1278380.8099999998,6,9,Control,62,1M-5M,6,False
3158341,27,324,71.0,M,3,1581691.79,6,9,Test,71,1M-5M,6,False
7561241,5,71,55.5,U,3,1475524.6,3,6,Test,56,1M-5M,3,False
4834461,23,287,55.5,M,2,522457.42,3,6,Control,56,500K-1M,3,False
7656967,18,222,60.0,F,3,458857.19,6,9,Control,60,250K-500K,6,False
327337,15,187,73.0,M,2,699374.2300000001,6,9,Control,73,500K-1M,6,False
1830058,15,186,70.0,F,2,1823190.18,5,8,Test,70,1M-5M,5,False
272484,14,169,48.0,M,3,302145.66,6,9,Test,48,250K-500K,6,False
8306917,11,143,60.0,F,4,358021.67,6,9,Control,60,250K-500K,6,False
5116128,10,121,49.0,F,3,970272.0,3,6,Test,49,500K-1M,3,False
1465714,11,143,63.5,F,2,867380.8300000001,0,3,Control,64,500K-1M,0,False
2472976,4,54,67.5,F,2,661718.3400000001,5,8,Control,68,500K-1M,5,False
7020609,28,347,60.5,F,3,333574.56,1,4,Test,60,250K-500K,1,False
4366496,11,140,26.5,M,3,315341.78,6,9,Test,26,250K-500K,6,False
1346,14,177,46.0,F,2,822512.91,3,6,Test,46,500K-1M,3,False
9075393,12,146,48.5,M,4,484570.93,6,9,Control,48,250K-500K,6,False
7244004,15,190,52.5,F,2,755138.4700000001,1,4,Test,52,500K-1M,1,False
2658149,21,262,57.5,M,3,432275.28,3,6,Test,58,250K-500K,3,False
1007748,29,348,65.5,M,4,1423149.03,6,9,Control,66,1M-5M,6,False
4494336,5,71,66.0,F,3,403398.69,1,4,Control,66,250K-500K,1,False
