client_id,confirm,start,step_1,step_2,step_3,conversion,completed_&_confused,completed_linear,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,variation,edad_redondeada,full_bal,call_group
555,1.0,1.0,1.0,1.0,1.0,1,0,1,3,46,29.5,U,2,25454.66,2,6,Test,30,0-50K,2
647,1.0,1.0,1.0,1.0,1.0,1,0,1,12,151,57.5,M,2,30525.8,0,4,Test,58,0-50K,0
934,,4.0,,,,0,0,0,9,109,51.0,F,2,32522.88,0,3,Test,51,0-50K,0
1028,,1.0,5.0,2.0,1.0,0,0,0,12,145,36.0,M,3,103520.22,1,4,Control,36,100K-250K,1
1104,,2.0,,,,0,0,0,5,66,48.0,U,3,154643.94,6,9,Control,48,100K-250K,6
1186,,2.0,1.0,1.0,,0,0,0,8,99,22.0,U,2,31662.52,0,3,Control,22,0-50K,0
1195,1.0,1.0,1.0,1.0,1.0,1,0,1,21,262,54.5,M,2,28457.96,2,5,Control,54,0-50K,2
1197,1.0,1.0,1.0,2.0,2.0,1,1,0,7,85,28.5,U,5,177062.14,5,8,Control,28,100K-250K,5
1336,3.0,1.0,1.0,1.0,1.0,1,0,0,48,576,42.0,M,4,130537.18,6,9,Test,42,100K-250K,6
1346,,5.0,2.0,1.0,2.0,0,0,0,14,177,46.0,F,2,822512.91,3,6,Test,46,500K-1M,3
1368,,1.0,,,,0,0,0,5,60,45.0,F,3,61956.25,6,9,Control,45,50K-100K,6
1516,1.0,6.0,4.0,4.0,1.0,1,1,0,12,150,58.5,F,2,25408.39,5,8,Test,58,0-50K,5
1643,1.0,5.0,2.0,1.0,1.0,1,1,0,19,229,55.0,M,2,81731.39,0,3,Test,55,50K-100K,0
1702,3.0,,,,,0,0,0,21,260,62.5,U,3,1769255.99,5,8,Test,62,1M-5M,5
1755,1.0,2.0,2.0,2.0,2.0,1,1,0,9,110,46.5,M,2,179775.21999999997,0,3,Test,46,100K-250K,0
1836,2.0,4.0,4.0,1.0,1.0,1,1,0,13,157,51.5,M,2,826232.62,4,7,Test,52,500K-1M,4
1936,1.0,4.0,1.0,2.0,2.0,1,1,0,5,63,26.5,M,2,52447.9,6,9,Test,26,50K-100K,6
2439,,1.0,,,,0,0,0,11,142,56.0,M,2,504142.55,0,3,Control,56,500K-1M,0
2581,,1.0,,,,0,0,0,4,58,22.0,M,2,24976.79,1,4,Control,22,0-50K,1
2720,,3.0,,,,0,0,0,9,117,25.0,M,3,81536.0,6,9,Test,25,50K-100K,6
3232,1.0,1.0,1.0,1.0,1.0,1,0,1,9,116,52.0,F,2,45617.96,3,6,Test,52,0-50K,3
3572,1.0,1.0,1.0,1.0,1.0,1,0,1,15,189,54.5,M,2,84673.58,0,3,Test,54,50K-100K,0
3647,,3.0,1.0,1.0,1.0,0,0,0,15,190,63.0,F,2,154244.15,4,7,Control,63,100K-250K,4
3743,1.0,1.0,1.0,1.0,1.0,1,0,1,6,75,30.0,U,3,48262.21,3,6,Control,30,0-50K,3
4369,1.0,1.0,1.0,1.0,1.0,1,0,1,14,172,70.5,F,2,191263.96,0,3,Test,70,100K-250K,0
4484,1.0,2.0,1.0,1.0,2.0,1,1,0,16,199,48.5,M,2,51499.77,2,5,Test,48,50K-100K,2
4603,2.0,1.0,1.0,1.0,1.0,1,0,0,12,154,38.5,F,2,48726.26,6,9,Test,38,0-50K,6
4717,1.0,3.0,2.0,2.0,2.0,1,1,0,7,86,58.0,U,2,1739571.5499999998,6,9,Test,58,1M-5M,6
4870,1.0,1.0,1.0,1.0,1.0,1,0,1,21,253,26.5,M,3,89408.8,6,9,Test,26,50K-100K,6
5354,1.0,2.0,2.0,1.0,1.0,1,1,0,4,58,50.5,U,2,62282.38,2,5,Control,50,50K-100K,2
5845,,2.0,2.0,2.0,3.0,0,0,0,23,280,76.0,F,2,213906.62,2,5,Test,76,100K-250K,2
6022,,2.0,1.0,,,0,0,0,7,92,30.0,U,2,36485.55,6,9,Test,30,0-50K,6
6150,,1.0,,,,0,0,0,27,329,67.0,F,2,199928.94,2,6,Test,67,100K-250K,2
6642,1.0,1.0,1.0,1.0,1.0,1,0,1,12,149,35.5,M,2,34987.23,0,3,Control,36,0-50K,0
6904,1.0,1.0,1.0,1.0,1.0,1,0,1,12,155,64.5,M,2,348285.51,6,9,Test,64,250K-500K,6
6977,1.0,,1.0,1.0,1.0,0,0,0,4,57,53.0,U,2,26011.36,0,3,Control,53,0-50K,0
6985,1.0,2.0,1.0,1.0,1.0,1,0,0,7,89,61.5,U,3,84975.6,6,9,Control,62,50K-100K,6
7020,1.0,3.0,4.0,2.0,2.0,1,1,0,16,195,41.5,F,2,63648.09,2,5,Control,42,50K-100K,2
7561,,3.0,2.0,1.0,,0,0,0,11,141,33.0,M,2,35070.619999999995,6,9,Test,33,0-50K,6
7563,1.0,1.0,1.0,1.0,1.0,1,0,1,8,106,29.5,M,3,186719.52,6,9,Test,30,100K-250K,6
